source,description,grade,unit_clean,quantity_m3,ef_baseline,scenario,ggbs_fraction,ef_adjusted,carbon_kgCO2e,premium_inr,saved_per_m3
PA,6.00m to 9.00m depth,M20,m3,34269.227000000006,284.9,B_30pct,0.3,216.5,7419287.646,2184663.22,68.4
PA,6.00m to 9.00m depth,M20,m3,34269.227000000006,284.9,C_50pct,0.5,170.9,5856610.894,3641105.37,114.0
PA,9.00m to 12.00m depth,M20,m3,6002.941,284.9,A_baseline,0.0,284.9,1710237.891,0.0,0.0
PA,9.00m to 12.00m depth,M20,m3,6002.941,284.9,B_30pct,0.3,216.5,1299636.726,382687.49,68.4
PA,9.00m to 12.00m depth,M20,m3,6002.941,284.9,C_50pct,0.5,170.9,1025902.617,637812.48,114.0
PA,Same as item No - 1.01 but for general excavation in Hard rock/ boulders (more t,M20,m3,2374.61,284.9,A_baseline,0.0,284.9,676526.389,0.0,0.0
PA,Same as item No - 1.01 but for general excavation in Hard rock/ boulders (more t,M20,m3,2374.61,284.9,B_30pct,0.3,216.5,514103.065,151381.39,68.4
PA,Same as item No - 1.01 but for general excavation in Hard rock/ boulders (more t,M20,m3,2374.61,284.9,C_50pct,0.5,170.9,405820.849,252302.31,114.0
PA,"Excavation in all types of soil including dense soil, disintegrated/ weathered/ ",M20,m3,4890.156,284.9,A_baseline,0.0,284.9,1393205.444,0.0,0.0
PA,"Excavation in all types of soil including dense soil, disintegrated/ weathered/ ",M20,m3,4890.156,284.9,B_30pct,0.3,216.5,1058718.774,311747.44,68.4
PA,"Excavation in all types of soil including dense soil, disintegrated/ weathered/ ",M20,m3,4890.156,284.9,C_50pct,0.5,170.9,835727.66,519579.08,114.0
PA,Same as Item (1.02) but for excavation in Hard rock / boulders (more than 1/2 Cu,M20,m3,81.75999999999999,284.9,A_baseline,0.0,284.9,23293.424,0.0,0.0
PA,Same as Item (1.02) but for excavation in Hard rock / boulders (more than 1/2 Cu,M20,m3,81.75999999999999,284.9,B_30pct,0.3,216.5,17701.04,5212.2,68.4
PA,Same as Item (1.02) but for excavation in Hard rock / boulders (more than 1/2 Cu,M20,m3,81.75999999999999,284.9,C_50pct,0.5,170.9,13972.784,8687.0,114.0
PA, With excavated earth available at site,M20,m3,16746.92,284.9,A_baseline,0.0,284.9,4771197.508,0.0,0.0
PA, With excavated earth available at site,M20,m3,16746.92,284.9,B_30pct,0.3,216.5,3625708.18,1067616.15,68.4
PA, With excavated earth available at site,M20,m3,16746.92,284.9,C_50pct,0.5,170.9,2862048.628,1779360.25,114.0
PA, With approved quality earth brought from outside (Cost to include royalty charg,M20,m3,165.0,284.9,A_baseline,0.0,284.9,47008.5,0.0,0.0
PA, With approved quality earth brought from outside (Cost to include royalty charg,M20,m3,165.0,284.9,B_30pct,0.3,216.5,35722.5,10518.75,68.4
PA, With approved quality earth brought from outside (Cost to include royalty charg,M20,m3,165.0,284.9,C_50pct,0.5,170.9,28198.5,17531.25,114.0
PA,Basement - 3 (for Basement beyond Tower),M35,m3,58.22518035039505,356.3,A_baseline,0.0,356.3,20745.632,0.0,0.0
PA,Basement - 3 (for Basement beyond Tower),M35,m3,58.22518035039505,356.3,B_30pct,0.3,269.66,15701.002,3711.86,86.64
PA,Basement - 3 (for Basement beyond Tower),M35,m3,58.22518035039505,356.3,C_50pct,0.5,211.9,12337.916,6186.43,144.4
PA,Basement 3,M50,m3,7.68,420.0,A_baseline,0.0,420.0,3225.6,0.0,0.0
PA,Basement 3,M50,m3,7.68,420.0,B_30pct,0.3,317.4,2437.632,489.6,102.6
PA,Basement 3,M50,m3,7.68,420.0,C_50pct,0.5,249.0,1912.32,816.0,171.0
PA,Basement 2,M50,m3,3.6,420.0,A_baseline,0.0,420.0,1512.0,0.0,0.0
PA,Basement 2,M50,m3,3.6,420.0,B_30pct,0.3,317.4,1142.64,229.5,102.6
PA,Basement 2,M50,m3,3.6,420.0,C_50pct,0.5,249.0,896.4,382.5,171.0
PA,Club House Terrace,M25,m3,90.0,301.8,A_baseline,0.0,301.8,27162.0,0.0,0.0
PA,Club House Terrace,M25,m3,90.0,301.8,B_30pct,0.3,228.84,20595.6,5737.5,72.96
PA,Club House Terrace,M25,m3,90.0,301.8,C_50pct,0.5,180.2,16218.0,9562.5,121.6
PA,Basement 1,M50,m3,1290.0,420.0,A_baseline,0.0,420.0,541800.0,0.0,0.0
PA,Basement 1,M50,m3,1290.0,420.0,B_30pct,0.3,317.4,409446.0,82237.5,102.6
PA,Basement 1,M50,m3,1290.0,420.0,C_50pct,0.5,249.0,321210.0,137062.5,171.0
PA,Ground Floor,M50,m3,63.375049609736735,420.0,A_baseline,0.0,420.0,26617.521,0.0,0.0
PA,Ground Floor,M50,m3,63.375049609736735,420.0,B_30pct,0.3,317.4,20115.241,4040.16,102.6
PA,Ground Floor,M50,m3,63.375049609736735,420.0,C_50pct,0.5,249.0,15780.387,6733.6,171.0
PA,First Floor,M30,m3,443.65531757500025,331.2,A_baseline,0.0,331.2,146938.641,0.0,0.0
PA,First Floor,M30,m3,443.65531757500025,331.2,B_30pct,0.3,251.4,111534.947,28283.03,79.8
PA,First Floor,M30,m3,443.65531757500025,331.2,C_50pct,0.5,198.2,87932.484,47138.38,133.0
PA,Second Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Second Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Second Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Third Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Third Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Third Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Fourth Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Fourth Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Fourth Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Fifth Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Fifth Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Fifth Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Sixth Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Sixth Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Sixth Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Seventh Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Seventh Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Seventh Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Eight Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Eight Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Eight Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Ninth Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Ninth Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Ninth Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Tenth Floor,M30,m3,450.8299925750002,331.2,A_baseline,0.0,331.2,149314.894,0.0,0.0
PA,Tenth Floor,M30,m3,450.8299925750002,331.2,B_30pct,0.3,251.4,113338.66,28740.41,79.8
PA,Tenth Floor,M30,m3,450.8299925750002,331.2,C_50pct,0.5,198.2,89354.505,47900.69,133.0
PA,Eleventh Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Eleventh Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Eleventh Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Twelfth Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Twelfth Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Twelfth Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Thirteenth Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Thirteenth Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Thirteenth Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Fourteenth Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Fourteenth Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Fourteenth Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Fifteenth Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Fifteenth Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Fifteenth Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Sixteenth Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Sixteenth Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
PA,Sixteenth Floor,M30,m3,459.3656650000001,331.2,C_50pct,0.5,198.2,91046.275,48807.6,133.0
PA,Seventeenth Floor,M30,m3,459.3656650000001,331.2,A_baseline,0.0,331.2,152141.908,0.0,0.0
PA,Seventeenth Floor,M30,m3,459.3656650000001,331.2,B_30pct,0.3,251.4,115484.528,29284.56,79.8
